sym,ein,entry,xout,exit,qty,net,retpct,reason
GLENMARK,2024-10-25,1675.3905398812167,2024-12-27,1537.6782217051764,174,-24880.46501593452,-8.534796804011748,MKT_GATE
VOLTAS,2024-10-25,1787.3762159990335,2024-12-27,1696.5204509676082,163,-15741.505629104027,-5.403096074672988,MKT_GATE
BBTC,2024-11-27,2476.3651430790496,2024-12-27,2092.3434661673264,118,-46202.51067494572,-15.811347600713438,MKT_GATE
NATCOPHARM,2024-11-27,1352.6895769004907,2024-12-27,1355.2699438950112,26,-62.27693088501108,-0.17707437193305375,MKT_GATE
JUBLFOOD,2025-05-02,713.7556024352766,2025-06-02,653.860045116476,419,-26037.33311010057,-8.706286333304886,ROTATION
GLAXO,2025-05-02,2825.5956817838146,2025-06-02,3216.1318084676514,106,40352.13781846979,13.472576699895592,ROTATION
AVANTIFEED,2025-05-02,862.2800569348533,2025-07-01,729.5911897895412,347,-46952.42805364779,-15.692070093060895,ROTATION
INDHOTEL,2025-05-02,783.7446014008763,2025-07-01,755.6347388839805,382,-11702.172851482475,-3.908666201902939,ROTATION
GODREJIND,2025-05-02,1072.9000244140625,2025-07-30,1121.0,279,12418.741296220194,4.148719967965816,ROTATION
EDELWEISS,2025-07-01,114.88213683039073,2025-07-30,104.42036432894228,1722,-18640.91501097693,-9.42283473816399,ROTATION
RPOWER,2025-05-02,40.75,2025-09-01,44.5,7352,26546.288964692,8.860754542711803,ROTATION
DIVISLAB,2025-05-02,6052.441093017518,2025-09-01,6131.5,49,2896.323932719398,0.9766084589628222,ROTATION
JUBLPHARMA,2025-06-02,1168.805184715654,2025-09-01,1023.0999755859375,255,-38074.11685907438,-12.7746064224358,ROTATION
RELINFRA,2025-07-01,412.0,2025-09-01,268.45001220703125,833,-120515.30495692011,-35.115591369631375,ROTATION
PCJEWELLER,2025-07-30,15.149999618530273,2025-09-01,13.109999656677246,11642,-24297.488827043977,-13.775937832261532,ROTATION
BAJAJHLDNG,2025-05-02,11767.626940623824,2025-09-30,12415.723187311178,25,15213.570285315569,5.171329907747422,ROTATION
