no,sym,entry_date,entry_px,exit_date,exit_px,qty,buy_value,sell_value,gross_pnl,stt,stamp,exch_gst,slippage,total_cost,net_pnl,net_pct,dp_flat_note,exit_reason
64,HAL,2024-10-25,4121.55,2024-11-27,4294.26,0.2426,1000.0,1041.9,41.9,2.04,0.15,0.07,1.02,3.29,38.62,3.86,15.93,ROTATION
65,GVTANDD,2023-09-13,327.11,2024-12-27,2064.22,3.0571,1000.0,6310.47,5310.47,7.31,0.15,0.26,3.66,11.38,5299.09,529.91,15.93,MKT_GATE
66,TRENT,2024-06-26,5334.03,2024-12-27,7086.43,0.1875,1000.0,1328.53,328.53,2.33,0.15,0.08,1.16,3.73,324.8,32.48,15.93,MKT_GATE
67,PCJEWELLER,2024-08-27,12.14,2024-12-27,17.69,82.3723,1000.0,1457.17,457.17,2.46,0.15,0.09,1.23,3.92,453.24,45.32,15.93,MKT_GATE
68,JUBLPHARMA,2024-09-25,1193.7,2024-12-27,1065.55,0.8377,1000.0,892.64,-107.36,1.89,0.15,0.07,0.95,3.06,-110.41,-11.04,15.93,MKT_GATE
69,TORNTPOWER,2024-09-25,1855.79,2024-12-27,1433.95,0.5389,1000.0,772.69,-227.31,1.77,0.15,0.06,0.89,2.87,-230.19,-23.02,15.93,MKT_GATE
70,NATIONALUM,2024-10-25,207.3,2024-12-27,204.36,4.8239,1000.0,985.82,-14.18,1.99,0.15,0.07,0.99,3.2,-17.38,-1.74,15.93,MKT_GATE
71,GLENMARK,2024-10-25,1675.39,2024-12-27,1537.68,0.5969,1000.0,917.8,-82.2,1.92,0.15,0.07,0.96,3.1,-85.29,-8.53,15.93,MKT_GATE
72,VOLTAS,2024-10-25,1787.38,2024-12-27,1696.52,0.5595,1000.0,949.17,-50.83,1.95,0.15,0.07,0.97,3.14,-53.98,-5.4,15.93,MKT_GATE
73,BBTC,2024-11-27,2476.37,2024-12-27,2092.34,0.4038,1000.0,844.93,-155.07,1.84,0.15,0.07,0.92,2.98,-158.06,-15.81,15.93,MKT_GATE
74,NATCOPHARM,2024-11-27,1352.69,2024-12-27,1355.27,0.7393,1000.0,1001.91,1.91,2.0,0.15,0.07,1.0,3.23,-1.32,-0.13,15.93,MKT_GATE
75,JUBLFOOD,2025-05-02,713.76,2025-06-02,653.86,1.401,1000.0,916.08,-83.92,1.92,0.15,0.07,0.96,3.09,-87.01,-8.7,15.93,ROTATION
76,GLAXO,2025-05-02,2825.6,2025-06-02,3216.13,0.3539,1000.0,1138.21,138.21,2.14,0.15,0.08,1.07,3.43,134.78,13.48,15.93,ROTATION
77,AVANTIFEED,2025-05-02,862.28,2025-07-01,729.59,1.1597,1000.0,846.12,-153.88,1.85,0.15,0.07,0.92,2.99,-156.87,-15.69,15.93,ROTATION
78,INDHOTEL,2025-05-02,783.74,2025-07-01,755.63,1.2759,1000.0,964.13,-35.87,1.96,0.15,0.07,0.98,3.17,-39.03,-3.9,15.93,ROTATION
79,GODREJIND,2025-05-02,1072.9,2025-07-30,1121.0,0.9321,1000.0,1044.83,44.83,2.04,0.15,0.07,1.02,3.29,41.54,4.15,15.93,ROTATION
80,EDELWEISS,2025-07-01,114.88,2025-07-30,104.42,8.7046,1000.0,908.93,-91.07,1.91,0.15,0.07,0.95,3.08,-94.15,-9.41,15.93,ROTATION
81,RPOWER,2025-05-02,40.75,2025-09-01,44.5,24.5399,1000.0,1092.02,92.02,2.09,0.15,0.08,1.05,3.36,88.66,8.87,15.93,ROTATION
82,DIVISLAB,2025-05-02,6052.44,2025-09-01,6131.5,0.1652,1000.0,1013.06,13.06,2.01,0.15,0.07,1.01,3.24,9.82,0.98,15.93,ROTATION
83,JUBLPHARMA,2025-06-02,1168.81,2025-09-01,1023.1,0.8556,1000.0,875.34,-124.66,1.88,0.15,0.07,0.94,3.03,-127.69,-12.77,15.93,ROTATION
84,RELINFRA,2025-07-01,412.0,2025-09-01,268.45,2.4272,1000.0,651.58,-348.42,1.65,0.15,0.06,0.83,2.69,-351.11,-35.11,15.93,ROTATION
85,PCJEWELLER,2025-07-30,15.15,2025-09-01,13.11,66.0066,1000.0,865.35,-134.65,1.87,0.15,0.07,0.93,3.02,-137.67,-13.77,15.93,ROTATION
86,BAJAJHLDNG,2025-05-02,11767.63,2025-09-30,12415.72,0.085,1000.0,1055.07,55.07,2.06,0.15,0.07,1.03,3.31,51.77,5.18,15.93,ROTATION
87,JMFINANCIL,2025-07-30,159.8,2025-09-30,158.58,6.2578,1000.0,992.37,-7.63,1.99,0.15,0.07,1.0,3.21,-10.84,-1.08,15.93,ROTATION
88,MFSL,2025-06-02,1502.7,2025-10-31,1556.2,0.6655,1000.0,1035.6,35.6,2.04,0.15,0.07,1.02,3.28,32.33,3.23,15.93,ROTATION
89,COROMANDEL,2025-05-02,2226.73,2025-12-02,2394.66,0.4491,1000.0,1075.42,75.42,2.08,0.15,0.08,1.04,3.34,72.08,7.21,15.93,ROTATION
90,SOLARINDS,2025-05-02,13142.13,2025-12-02,13285.0,0.0761,1000.0,1010.87,10.87,2.01,0.15,0.07,1.01,3.24,7.63,0.76,15.93,ROTATION
91,NAMINDIA,2025-09-01,775.84,2025-12-02,848.49,1.2889,1000.0,1093.64,93.64,2.09,0.15,0.08,1.05,3.37,90.27,9.03,15.93,ROTATION
92,ADANIPOWER,2025-09-30,148.0,2026-01-01,143.25,6.7568,1000.0,967.91,-32.09,1.97,0.15,0.07,0.98,3.17,-35.27,-3.53,15.93,ROTATION
93,GVTANDD,2025-09-01,2779.0,2026-02-03,3400.0,0.3598,1000.0,1223.46,223.46,2.22,0.15,0.08,1.11,3.57,219.9,21.99,15.93,MKT_GATE
94,KRBL,2025-09-01,428.7,2026-02-03,396.2,2.3326,1000.0,924.18,-75.82,1.92,0.15,0.07,0.96,3.11,-78.92,-7.89,15.93,MKT_GATE
95,MUTHOOTFIN,2025-09-01,2641.76,2026-02-03,3693.77,0.3785,1000.0,1398.22,398.22,2.4,0.15,0.09,1.2,3.83,394.39,39.44,15.93,MKT_GATE
96,INDIANB,2025-09-01,639.48,2026-02-03,856.75,1.5638,1000.0,1339.76,339.76,2.34,0.15,0.08,1.17,3.74,336.02,33.6,15.93,MKT_GATE
97,MANAPPURAM,2025-09-30,282.75,2026-02-03,289.05,3.5367,1000.0,1022.27,22.27,2.02,0.15,0.07,1.01,3.26,19.02,1.9,15.93,MKT_GATE
98,RBLBANK,2025-10-31,324.45,2026-02-03,304.2,3.0821,1000.0,937.59,-62.41,1.94,0.15,0.07,0.97,3.13,-65.54,-6.55,15.93,MKT_GATE
99,AUBANK,2025-12-02,949.95,2026-02-03,985.0,1.0527,1000.0,1036.9,36.9,2.04,0.15,0.07,1.02,3.28,33.62,3.36,15.93,MKT_GATE
100,CUB,2025-12-02,210.75,2026-02-03,243.0,4.745,1000.0,1153.02,153.02,2.15,0.15,0.08,1.08,3.46,149.57,14.96,15.93,MKT_GATE
101,CANBK,2025-12-02,146.06,2026-02-03,147.63,6.8464,1000.0,1010.74,10.74,2.01,0.15,0.07,1.01,3.24,7.5,0.75,15.93,MKT_GATE
102,TVSMOTOR,2026-01-01,3723.98,2026-02-03,3803.41,0.2685,1000.0,1021.33,21.33,2.02,0.15,0.07,1.01,3.26,18.07,1.81,15.93,MKT_GATE
